k,rho,n_1,alpha,pct_greater_d
1,2,2,0.05,0.8609
1,2,2,0.1,0.8626
1,2,3,0.05,0.62
1,2,3,0.1,0.5745
1,2,4,0.05,0.5003
1,2,4,0.1,0.44
1,2,5,0.05,0.4681
1,2,5,0.1,0.3538
1,2,6,0.05,0.4279
1,2,6,0.1,0.2952
1,2,7,0.05,0.315
1,2,7,0.1,0.1621
1,2,8,0.05,0.086
1,2,8,0.1,0.0253
1,2,9,0.05,0.2689
1,2,9,0.1,0.0849
1,2,10,0.05,0.0856
1,2,10,0.1,0.0201
1,2,11,0.05,0.1205
1,2,11,0.1,0.0146
1,4,2,0.05,0.9157
1,4,2,0.1,0.871
1,4,3,0.05,0.846
1,4,3,0.1,0.742
1,4,4,0.05,0.7444
1,4,4,0.1,0.5422
1,4,5,0.05,0.6181
1,4,5,0.1,0.3758
1,4,6,0.05,0.5436
1,4,6,0.1,0.2048
1,4,7,0.05,0.4827
1,4,7,0.1,0.153
1,4,8,0.05,0.0703
1,4,8,0.1,0.1549
1,4,9,0.05,0.1668
1,4,9,0.1,0.0036
1,4,10,0.05,0.2504
1,4,10,0.1,0
1,4,11,0.05,0.143
1,4,11,0.1,0
1,6,2,0.05,0.9254
1,6,2,0.1,0.8976
1,6,3,0.05,0.8687
1,6,3,0.1,0.7653
1,6,4,0.05,0.7846
1,6,4,0.1,0.6153
1,6,5,0.05,0.6662
1,6,5,0.1,0.4555
1,6,6,0.05,0.5957
1,6,6,0.1,0.2775
1,6,7,0.05,0.394
1,6,7,0.1,0.269
1,6,8,0.05,0.4584
1,6,8,0.1,0.0182
1,6,9,0.05,0.2522
1,6,9,0.1,0
1,6,10,0.05,0.1846
1,6,10,0.1,0
1,6,11,0.05,0.0972
1,6,11,0.1,0.0088
1,8,2,0.05,0.9293
1,8,2,0.1,0.9181
1,8,3,0.05,0.8905
1,8,3,0.1,0.7826
1,8,4,0.05,0.7921
1,8,4,0.1,0.5221
1,8,5,0.05,0.699
1,8,5,0.1,0.329
1,8,6,0.05,0.5919
1,8,6,0.1,0.1477
1,8,7,0.05,0.2904
1,8,7,0.1,0.0753
1,8,8,0.05,0.2024
1,8,8,0.1,0
1,8,9,0.05,0.1561
1,8,9,0.1,0
1,8,10,0.05,0.1324
1,8,10,0.1,0.0278
1,8,11,0.05,0.1972
1,8,11,0.1,0.063
1,10,2,0.05,0.9488
1,10,2,0.1,0.9033
1,10,3,0.05,0.8793
1,10,3,0.1,0.7841
1,10,4,0.05,0.7625
1,10,4,0.1,0.5365
1,10,5,0.05,0.5789
1,10,5,0.1,0.3265
1,10,6,0.05,0.4774
1,10,6,0.1,0.1056
1,10,7,0.05,0.6929
1,10,7,0.1,0.0766
1,10,8,0.05,0.1774
1,10,8,0.1,0.0108
1,10,9,0.05,0.1144
1,10,9,0.1,0.0184
1,10,10,0.05,0.0421
1,10,10,0.1,0
1,10,11,0.05,0.1114
1,10,11,0.1,0.0019
1,12,2,0.05,0.9548
1,12,2,0.1,0.9188
1,12,3,0.05,0.8913
1,12,3,0.1,0.7705
1,12,4,0.05,0.7959
1,12,4,0.1,0.6498
1,12,5,0.05,0.5113
1,12,5,0.1,0.2514
1,12,6,0.05,0.464
1,12,6,0.1,0.2693
1,12,7,0.05,0.4683
1,12,7,0.1,0.1145
1,12,8,0.05,0.1687
1,12,8,0.1,0.0127
1,12,9,0.05,0.0666
1,12,9,0.1,0.012
1,12,10,0.05,0.0809
1,12,10,0.1,0.0262
1,12,11,0.05,0.1353
1,12,11,0.1,0
2,2,2,0.05,0.7896
2,2,2,0.1,0.5038
2,2,3,0.05,0.4843
2,2,3,0.1,0.4329
2,2,4,0.05,0.4893
2,2,4,0.1,0.2079
2,2,5,0.05,0.464
2,2,5,0.1,0.1203
2,2,6,0.05,0.3849
2,2,6,0.1,0.1704
2,2,7,0.05,0.2679
2,2,7,0.1,0.1355
2,2,8,0.05,0.1093
2,2,8,0.1,0.0232
2,2,9,0.05,0.0684
2,2,9,0.1,0.0042
2,2,10,0.05,0.1446
2,2,10,0.1,0.0569
2,2,11,0.05,0.0509
2,2,11,0.1,5e-4
2,4,2,0.05,0.7072
2,4,2,0.1,0.6446
2,4,3,0.05,0.6477
2,4,3,0.1,0.4545
2,4,4,0.05,0.3578
2,4,4,0.1,0.1489
2,4,5,0.05,0.2016
2,4,5,0.1,0.0533
2,4,6,0.05,0.2785
2,4,6,0.1,0.0944
2,4,7,0.05,0.0429
2,4,7,0.1,0.0223
2,4,8,0.05,0.0411
2,4,8,0.1,0.0301
2,4,9,0.05,0.001
2,4,9,0.1,1e-4
2,4,10,0.05,0.0031
2,4,10,0.1,4e-4
2,4,11,0.05,0.0045
2,4,11,0.1,0.0021
2,6,2,0.05,0.7472
2,6,2,0.1,0.6739
2,6,3,0.05,0.4548
2,6,3,0.1,0.248
2,6,4,0.05,0.294
2,6,4,0.1,0.0436
2,6,5,0.05,0.1477
2,6,5,0.1,0.0691
2,6,6,0.05,0.0769
2,6,6,0.1,0.0531
2,6,7,0.05,0.0816
2,6,7,0.1,0.0036
2,6,8,0.05,0.002
2,6,8,0.1,0
2,6,9,0.05,0.0013
2,6,9,0.1,4e-4
2,6,10,0.05,0.001
2,6,10,0.1,0
2,6,11,0.05,2e-4
2,6,11,0.1,0
2,8,2,0.05,0.7609
2,8,2,0.1,0.6341
2,8,3,0.05,0.612
2,8,3,0.1,0.4166
2,8,4,0.05,0.2629
2,8,4,0.1,0.0199
2,8,5,0.05,0.10780000000000001
2,8,5,0.1,0.0049
2,8,6,0.05,0.099
2,8,6,0.1,0.0038
2,8,7,0.05,0.0012
2,8,7,0.1,2e-4
2,8,8,0.05,0.0055
2,8,8,0.1,4e-4
2,8,9,0.05,4e-4
2,8,9,0.1,0
2,8,10,0.05,0.0055
2,8,10,0.1,0
2,8,11,0.05,0
2,8,11,0.1,0
2,10,2,0.05,0.6849
2,10,2,0.1,0.5714
2,10,3,0.05,0.3961
2,10,3,0.1,0.3047
2,10,4,0.05,0.2787
2,10,4,0.1,0.1242
2,10,5,0.05,0.1083
2,10,5,0.1,0.1435
2,10,6,0.05,0.0015
2,10,6,0.1,4e-4
2,10,7,0.05,1e-4
2,10,7,0.1,1e-4
2,10,8,0.05,2e-4
2,10,8,0.1,1e-4
2,10,9,0.05,1e-4
2,10,9,0.1,0
2,10,10,0.05,0
2,10,10,0.1,0
2,10,11,0.05,0
2,10,11,0.1,0
2,12,2,0.05,0.6779
2,12,2,0.1,0.566
2,12,3,0.05,0.4518
2,12,3,0.1,0.3026
2,12,4,0.05,0.2725
2,12,4,0.1,0.0548
2,12,5,0.05,0.3882
2,12,5,0.1,2e-4
2,12,6,0.05,0.0015
2,12,6,0.1,8e-4
2,12,7,0.05,1e-4
2,12,7,0.1,0
2,12,8,0.05,1e-4
2,12,8,0.1,1e-4
2,12,9,0.05,0
2,12,9,0.1,0
2,12,10,0.05,0
2,12,10,0.1,0
2,12,11,0.05,0
2,12,11,0.1,0
4,2,2,0.05,0.9546
4,2,2,0.1,0.9339
4,2,3,0.05,0.9149
4,2,3,0.1,0.8242
4,2,4,0.05,0.8063
4,2,4,0.1,0.6811
4,2,5,0.05,0.73
4,2,5,0.1,0.5519
4,2,6,0.05,0.5975
4,2,6,0.1,0.3725
4,2,7,0.05,0.5501
4,2,7,0.1,0.1739
4,2,8,0.05,0.3597
4,2,8,0.1,0.1738
4,2,9,0.05,0.4806
4,2,9,0.1,0.0067
4,2,10,0.05,0.5819
4,2,10,0.1,0.0537
4,2,11,0.05,0.156
4,2,11,0.1,0.0025
4,4,2,0.05,0.9511
4,4,2,0.1,0.9095
4,4,3,0.05,0.8424
4,4,3,0.1,0.7141
4,4,4,0.05,0.7366
4,4,4,0.1,0.5125
4,4,5,0.05,0.6373
4,4,5,0.1,0.4074
4,4,6,0.05,0.3265
4,4,6,0.1,0.1608
4,4,7,0.05,0.2755
4,4,7,0.1,0.1964
4,4,8,0.05,0.1701
4,4,8,0.1,0.0184
4,4,9,0.05,0.2573
4,4,9,0.1,0.0183
4,4,10,0.05,0.0252
4,4,10,0.1,0.0193
4,4,11,0.05,0.1091
4,4,11,0.1,4e-4
4,6,2,0.05,0.9174
4,6,2,0.1,0.7257
4,6,3,0.05,0.6836
4,6,3,0.1,0.3832
4,6,4,0.05,0.295
4,6,4,0.1,0.1968
4,6,5,0.05,0.2737
4,6,5,0.1,0.2265
4,6,6,0.05,0.1063
4,6,6,0.1,0.0322
4,6,7,0.05,0.3291
4,6,7,0.1,0.0624
4,6,8,0.05,0.2163
4,6,8,0.1,0.0395
4,6,9,0.05,0.704
4,6,9,0.1,0.2037
4,6,10,0.05,0.5647
4,6,10,0.1,0
4,6,11,0.05,0.0057
4,6,11,0.1,3e-4
4,8,2,0.05,0.6392
4,8,2,0.1,0.3301
4,8,3,0.05,0.4055
4,8,3,0.1,0.3269
4,8,4,0.05,0.2794
4,8,4,0.1,0.1356
4,8,5,0.05,0.1567
4,8,5,0.1,0.1011
4,8,6,0.05,0.0854
4,8,6,0.1,0.0133
4,8,7,0.05,0.4538
4,8,7,0.1,0.0068
4,8,8,0.05,0.1632
4,8,8,0.1,0.04
4,8,9,0.05,0.017
4,8,9,0.1,0
4,8,10,0.05,0.0301
4,8,10,0.1,0.0032
4,8,11,0.05,6e-4
4,8,11,0.1,0
4,10,2,0.05,0.3718
4,10,2,0.1,0.3032
4,10,3,0.05,0.2573
4,10,3,0.1,0.1933
4,10,4,0.05,0.2048
4,10,4,0.1,0.1265
4,10,5,0.05,0.0949
4,10,5,0.1,0.0431
4,10,6,0.05,0.0834
4,10,6,0.1,0.0165
4,10,7,0.05,0.0401
4,10,7,0.1,0.0168
4,10,8,0.05,0.0476
4,10,8,0.1,0.0064
4,10,9,0.05,0.0116
4,10,9,0.1,0
4,10,10,0.05,0.0082
4,10,10,0.1,0.0012
4,10,11,0.05,9e-4
4,10,11,0.1,0
4,12,2,0.05,0.307
4,12,2,0.1,0.257
4,12,3,0.05,0.256
4,12,3,0.1,0.2171
4,12,4,0.05,0.1264
4,12,4,0.1,0.0454
4,12,5,0.05,0.0987
4,12,5,0.1,0.0441
4,12,6,0.05,0.0216
4,12,6,0.1,0.0055
4,12,7,0.05,0.0172
4,12,7,0.1,0.0052
4,12,8,0.05,0.0223
4,12,8,0.1,0.0018
4,12,9,0.05,0.0116
4,12,9,0.1,5e-4
4,12,10,0.05,0.006
4,12,10,0.1,0
4,12,11,0.05,0
4,12,11,0.1,0
